freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_KM2,AL	100.4 	100.1 	99.9 	99.8 	99.6 	99.1 	101.6 e	101.0 e	98.8 e	: 
A,PER_KM2,AL0	100.4 	100.1 	99.9 	99.8 	99.6 	99.1 	101.6 e	101.0 e	98.8 e	: 
A,PER_KM2,AL01	77.7 	77.0 	76.6 	76.1 	75.5 	74.8 	77.0 e	76.3 e	74.0 e	: 
A,PER_KM2,AL011	53.7 	52.7 	51.6 	49.9 	48.6 	47.6 	71.7 e	70.1 e	65.9 e	: 
A,PER_KM2,AL012	359.8 	362.5 	366.9 	373.0 	376.5 	377.2 	87.6 e	87.9 e	87.7 e	: 
A,PER_KM2,AL013	34.8 	34.2 	33.6 	32.8 	32.2 	31.8 	31.0 e	30.5 e	29.4 e	: 
A,PER_KM2,AL014	79.9 	78.9 	78.0 	77.0 	75.9 	74.6 	53.0 e	52.0 e	49.5 e	: 
A,PER_KM2,AL015	60.9 	60.0 	59.3 	58.5 	57.8 	57.1 	264.4 e	260.6 e	250.8 e	: 
A,PER_KM2,AL02	225.1 	227.0 	229.2 	232.4 	234.8 	236.2 	237.8 e	238.6 e	238.8 e	: 
A,PER_KM2,AL021	88.4 	87.2 	86.2 	84.8 	83.5 	82.2 	82.8 e	81.4 e	77.7 e	: 
A,PER_KM2,AL022	499.2 	507.3 	515.8 	528.2 	538.2 	544.9 	548.9 e	554.0 e	562.1 e	: 
A,PER_KM2,AL03	71.6 	70.7 	69.9 	68.9 	67.9 	67.1 	68.8 e	67.9 e	64.9 e	: 
A,PER_KM2,AL031	77.6 	76.0 	74.2 	72.0 	70.1 	68.6 	68.3 e	66.7 e	62.6 e	: 
A,PER_KM2,AL032	164.7 	162.8 	161.3 	159.5 	157.4 	155.2 	102.1 e	100.6 e	96.1 e	: 
A,PER_KM2,AL033	24.5 	23.9 	23.3 	22.4 	21.6 	21.0 	23.0 e	22.3 e	20.7 e	: 
A,PER_KM2,AL034	59.4 	58.6 	57.8 	56.9 	56.0 	55.3 	115.5 e	113.9 e	109.2 e	: 
A,PER_KM2,AL035	69.6 	69.6 	69.7 	69.9 	70.0 	69.9 	52.9 e	52.7 e	51.5 e	: 
A,PER_KM2,AT	103.7 	104.9 	106.0 b	106.8 	107.1 	107.6 	107.6 	108.1 	109.6 	110.7 
A,PER_KM2,AT1	161.0 	163.3 	165.6 b	167.0 	167.2 	168.1 	168.1 	168.9 	171.8 	174.0 
A,PER_KM2,AT11	78.5 	79.0 	79.4 b	79.7 	77.5 	77.8 	77.8 	78.1 	79.2 	79.7 
A,PER_KM2,AT111	54.1 	54.3 	54.4 b	54.3 	54.2 	54.0 	54.0 	53.9 	54.2 	54.4 
A,PER_KM2,AT112	100.3 	101.4 	102.4 b	103.1 	96.9 	97.6 	97.6 	98.3 	100.3 	100.8 
A,PER_KM2,AT113	67.1 	67.2 	67.3 b	67.2 	66.9 	66.8 	66.8 	66.9 	67.4 	67.9 
A,PER_KM2,AT12	86.2 	87.0 	87.7 b	88.2 	88.5 	88.9 	88.9 	89.3 	90.4 	91.0 
A,PER_KM2,AT121	73.3 	73.7 	74.2 b	74.4 	74.6 	74.8 	74.8 	75.0 	75.5 	75.9 
A,PER_KM2,AT122	76.0 	76.6 	77.2 b	77.4 	77.7 	77.9 	77.9 	78.2 	79.2 	79.7 
A,PER_KM2,AT123	123.4 	124.7 	126.1 b	127.0 	127.8 	128.4 	128.4 	129.1 	131.2 	132.8 
A,PER_KM2,AT124	47.9 	48.0 	48.2 b	48.1 	47.8 	47.7 	47.7 	47.5 	47.5 	47.5 
A,PER_KM2,AT125	51.6 	51.8 	52.1 b	52.3 	52.3 	52.3 	52.3 	52.4 	53.1 	53.4 
A,PER_KM2,AT126	118.3 	119.7 	121.1 b	122.4 	123.7 	124.8 	124.8 	125.8 	128.1 	129.5 
A,PER_KM2,AT127	227.0 	230.1 	232.9 b	234.7 	236.3 	237.9 	237.9 	239.6 	243.6 	245.9 
A,PER_KM2,AT13	4511.5 	4604.5 	4693.4 b	4754.9 	4780.6 	4808.9 	4808.9 	4838.6 	4941.5 	5035.2 
A,PER_KM2,AT130	4511.5 	4604.5 	4693.4 b	4754.9 	4780.6 	4808.9 	4808.9 	4838.6 	4941.5 	5035.2 
A,PER_KM2,AT2	69.3 	69.7 	70.1 b	70.3 	70.4 	70.5 	70.5 	70.6 	71.3 	71.7 
A,PER_KM2,AT21	59.5 	59.7 	59.9 b	59.9 	59.9 	59.9 	59.9 	60.0 	60.5 	60.8 
A,PER_KM2,AT211	143.2 	144.4 	145.4 b	146.1 	146.6 	147.2 	147.2 	147.9 	150.5 	151.8 
A,PER_KM2,AT212	30.9 	30.9 	30.8 b	30.7 	30.6 	30.5 	30.5 	30.4 	30.4 	30.5 
A,PER_KM2,AT213	45.2 	45.2 	45.2 b	45.0 	44.7 	44.6 	44.6 	44.4 	44.4 	44.4 
A,PER_KM2,AT22	75.0 	75.5 	76.0 b	76.2 	76.4 	76.6 	76.6 	76.7 	77.5 	78.0 
A,PER_KM2,AT221	343.6 	349.1 	354.7 b	358.9 	367.6 	370.9 	370.9 	373.4 	380.8 	386.7 
A,PER_KM2,AT222	24.5 	24.7 	24.7 b	24.8 	24.3 	24.3 	24.3 	24.2 	24.3 	24.3 
A,PER_KM2,AT223	50.2 	50.1 	49.9 b	49.6 	50.0 	49.8 	49.8 	49.5 	49.5 	49.5 
A,PER_KM2,AT224	79.8 	79.7 	79.9 b	80.0 	80.9 	81.0 	81.0 	80.8 	81.0 	81.8 
A,PER_KM2,AT225	87.0 	87.9 	88.3 b	88.3 	86.8 	87.0 	87.0 	87.6 	88.9 	88.4 
A,PER_KM2,AT226	33.4 	33.4 	33.3 b	33.1 	32.9 	32.7 	32.7 	32.6 	32.5 	32.5 
A,PER_KM2,AT3	90.8 	91.8 	92.7 b	93.4 	94.0 	94.5 	94.5 	94.9 	96.1 	97.0 
A,PER_KM2,AT31	122.2 	123.4 	124.6 b	125.4 	126.1 	126.8 	126.8 	127.4 	129.2 	130.3 
A,PER_KM2,AT311	99.9 	100.8 	101.7 b	102.5 	103.1 	103.7 	103.7 	104.3 	106.0 	107.0 
A,PER_KM2,AT312	331.6 	336.1 	340.2 b	343.5 	346.7 	349.2 	349.2 	351.1 	356.3 	360.0 
A,PER_KM2,AT313	77.9 	78.4 	79.0 b	79.2 	79.4 	79.7 	79.7 	80.0 	80.9 	81.5 
A,PER_KM2,AT314	68.9 	69.4 	69.8 b	70.1 	70.2 	70.3 	70.3 	70.4 	71.1 	71.5 
