country,total,Very positive,Fairly positive,Fairly negative,Very negative,No effect,Don't know,total positive,total negative
BE,1010,152,434,266,112,24,23,585,378
BG,1014,120,405,192,94,43,161,525,286
CZ,1048,157,446,260,84,43,59,603,344
DK,993,171,494,188,67,25,49,664,255
D-W,1264,150,591,289,115,25,95,741,403
DE,1570,165,712,388,156,31,118,877,544
D-E,306,15,121,100,41,7,23,137,140
EE,1005,148,409,206,84,39,120,557,290
IE,1004,199,358,205,127,30,84,557,332
EL,1015,149,394,273,123,12,65,542,396
ES,1002,191,392,173,151,11,83,583,324
FR,1012,94,358,302,127,49,82,452,429
HR,1001,92,477,249,121,17,46,568,370
IT,1029,103,521,218,111,20,56,624,329
CY,504,105,193,112,62,5,27,298,174
LV,1011,135,338,264,132,31,111,473,396
LT,1027,136,412,266,75,22,116,549,341
LU,512,74,206,133,59,15,25,280,192
HU,1020,192,478,223,82,15,30,670,305
MT,501,111,234,70,21,30,35,345,91
NL,1086,132,482,306,120,12,34,615,426
AT,1006,126,333,259,179,17,91,459,438
PL,1018,91,536,191,94,28,78,626,285
PT,1035,240,467,146,55,7,119,707,201
RO,1046,62,355,300,204,40,84,417,505
SI,1004,128,379,271,154,32,40,507,426
SK,1015,133,435,253,97,19,78,568,350
FI,1000,153,442,220,94,23,68,595,314
SE,1022,144,456,290,75,20,37,600,365
TR,1057,394,468,126,52,14,3,862,178
MK,1019,116,376,250,186,38,53,492,436
ME,539,103,219,135,75,7,0,322,210
RS,1021,122,323,247,253,31,44,446,500
AL,1004,95,474,200,134,46,55,569,334
UK,1034,152,413,215,151,34,69,566,366
BA,1006,98,317,310,244,21,15,416,554
XK,1017,325,285,134,84,62,128,609,218
