country,total,very positive,fairly positive,fairly negative,very negative,no effect,don't know,total positive,total negative
BE,1010,214,531,164,38,34,30,744,202
BG,1014,144,398,184,90,27,170,542,274
CZ,1048,224,518,157,47,48,54,741,205
DK,993,221,476,137,36,35,87,698,173
D-W,1264,180,581,277,99,40,87,760,376
DE,1570,193,711,360,144,46,117,903,504
D-E,306,13,130,82,45,6,30,143,127
EE,1005,268,476,85,42,37,96,744,127
IE,1004,301,432,99,57,36,79,733,156
EL,1015,187,495,134,30,20,149,682,164
ES,1002,371,411,73,47,13,87,782,120
FR,1012,139,511,154,26,56,124,651,180
HR,1001,121,467,222,90,32,68,588,312
IT,1029,166,562,156,60,21,64,728,216
CY,504,131,222,60,21,11,59,353,81
LV,1011,153,423,136,66,46,187,576,202
LT,1027,199,476,135,49,24,145,675,184
LU,512,108,213,77,51,27,36,321,128
HU,1020,259,473,157,78,27,26,732,235
MT,501,89,230,59,38,22,62,319,97
NL,1086,188,551,216,63,23,45,739,279
AT,1006,109,325,255,178,35,103,434,434
PL,1018,167,579,134,49,29,61,746,183
PT,1035,349,456,55,9,7,158,805,65
RO,1046,118,393,218,163,37,118,511,380
SI,1004,131,473,180,113,56,51,604,294
SK,1015,135,492,188,51,28,122,627,238
FI,1000,275,527,74,23,24,77,802,97
SE,1022,259,562,130,19,29,24,821,149
TR,1057,332,501,174,31,9,9,834,205
MK,1019,129,412,248,96,36,98,541,344
ME,539,106,237,123,49,15,8,343,173
RS,1021,149,336,256,179,41,60,484,436
AL,1004,121,493,110,67,56,157,614,177
UK,1034,213,495,161,52,31,81,709,213
BA,1006,137,421,240,131,48,28,558,372
XK,1017,279,360,96,33,46,203,639,129
