country,total,Very positive,Fairly positive,Fairly negative,Very negative,No effect,Don't know,total positive,total negative
BE,1010,269,509,133,46,29,24,779,178
BG,1014,281,436,94,40,25,138,717,134
CZ,1048,258,547,128,24,53,39,805,151
DK,993,299,505,77,27,42,43,804,104
D-W,1264,244,686,189,51,36,58,930,239
DE,1570,281,862,241,64,41,81,1143,305
D-E,306,37,176,52,14,4,23,213,66
EE,1005,282,468,85,33,45,92,750,118
IE,1004,410,408,43,36,32,75,819,79
EL,1015,240,461,186,54,11,64,701,240
ES,1002,521,363,42,27,8,41,884,69
FR,1012,215,491,157,57,40,52,706,214
HR,1001,186,558,149,47,14,47,744,197
IT,1029,142,597,152,72,21,45,740,224
CY,504,192,181,69,31,12,19,373,100
LV,1011,188,459,123,51,51,138,647,175
LT,1027,234,494,120,51,30,98,728,171
LU,512,135,237,74,25,28,12,372,99
HU,1020,262,510,141,58,16,33,772,199
MT,501,251,163,33,11,19,25,414,43
NL,1086,340,505,142,52,28,19,845,194
AT,1006,172,438,156,111,24,105,610,266
PL,1018,161,573,157,37,25,66,734,193
PT,1035,460,435,48,2,3,87,895,51
RO,1046,103,430,280,123,24,86,532,403
SI,1004,184,469,142,120,49,39,653,263
SK,1015,175,553,128,45,39,75,727,174
FI,1000,426,429,75,19,24,28,854,94
SE,1022,269,451,141,40,83,37,720,181
TR,1057,394,498,114,37,6,8,893,151
MK,1019,233,507,135,68,24,52,740,203
ME,539,133,213,113,50,24,7,346,163
RS,1021,199,400,214,131,28,49,599,345
AL,1004,169,557,120,75,39,44,726,195
UK,1034,285,464,123,45,44,73,749,168
BA,1006,225,382,190,152,37,21,606,342
XK,1017,351,396,83,35,30,122,747,119
