country,total,very positive,fairly positive,fairly negative,very negative,no effect,don't know,total positive,total negative
BE,1010,217,565,154,38,23,14,781,192
BG,1014,351,476,75,21,16,75,827,96
CZ,1048,268,605,88,22,32,33,873,110
DK,993,261,550,103,10,26,42,811,113
D-W,1264,250,767,166,28,15,38,1016,193
DE,1570,293,949,210,36,27,55,1242,246
D-E,306,43,183,44,9,11,16,226,53
EE,1005,304,528,73,20,36,44,832,93
IE,1004,460,428,41,13,20,42,888,55
EL,1015,336,557,69,17,3,32,894,86
ES,1002,376,470,64,38,12,42,846,102
FR,1012,129,565,173,48,42,53,695,222
HR,1001,255,545,117,46,15,22,800,163
IT,1029,225,650,95,20,11,28,874,116
CY,504,248,202,26,13,7,9,449,39
LV,1011,280,516,89,20,44,62,796,109
LT,1027,383,485,77,16,15,51,868,93
LU,512,146,270,66,17,8,5,417,83
HU,1020,289,562,105,32,13,19,851,137
MT,501,269,172,23,13,10,13,441,36
NL,1086,267,585,176,25,18,16,851,201
AT,1006,277,462,171,53,8,36,739,224
PL,1018,219,605,87,54,20,34,824,141
PT,1035,341,560,41,5,5,83,901,46
RO,1046,180,467,188,144,21,46,647,332
SI,1004,227,560,134,39,18,26,787,173
SK,1015,295,548,105,13,18,35,844,118
FI,1000,321,550,63,7,18,40,870,71
SE,1022,287,515,151,12,32,26,801,163
TR,1057,414,508,113,15,4,5,922,127
MK,1019,360,468,118,39,21,12,828,158
ME,539,134,269,92,38,6,0,403,130
RS,1021,293,497,155,53,16,7,790,208
AL,1004,335,552,54,30,19,13,887,84
UK,1034,360,533,89,13,19,21,892,102
BA,1006,268,462,159,79,27,12,730,238
XK,1017,574,302,52,23,23,43,876,76
