country,total,very positive,fairly positive,fairly negative,very negative,no effect,don't know,total positive,total negative
BE,1010,301,513,111,30,33,22,814,141
BG,1014,244,438,81,27,26,198,681,108
CZ,1048,349,505,89,17,44,45,853,106
DK,993,332,501,43,18,26,72,833,61
D-W,1264,319,660,131,34,25,94,979,165
DE,1570,379,829,169,39,29,125,1208,208
D-E,306,60,169,38,5,4,31,229,42
EE,1005,286,486,54,21,42,117,772,75
IE,1004,380,409,39,34,32,109,789,74
EL,1015,234,557,82,30,11,101,791,113
ES,1002,415,396,48,27,28,87,811,76
FR,1012,248,485,98,38,57,87,732,136
HR,1001,178,499,161,48,20,96,677,208
IT,1029,201,550,147,48,28,57,750,194
CY,504,173,187,62,29,12,41,360,91
LV,1011,233,476,65,13,64,161,709,77
LT,1027,229,495,84,18,40,161,724,102
LU,512,147,256,55,18,11,26,402,73
HU,1020,273,504,120,53,20,49,777,173
MT,501,227,171,15,13,36,39,398,28
NL,1086,399,567,64,15,8,34,965,79
AT,1006,255,427,102,72,30,119,683,174
PL,1018,189,607,92,31,32,67,796,123
PT,1035,378,455,42,6,10,144,833,47
RO,1046,144,414,251,104,26,108,558,355
SI,1004,199,531,100,67,47,60,730,167
SK,1015,239,580,67,17,20,91,820,84
FI,1000,463,424,28,11,17,57,887,38
SE,1022,412,512,37,3,14,44,924,39
TR,1057,387,513,103,25,10,18,901,128
MK,1019,220,463,141,63,45,88,683,204
ME,539,150,225,96,44,18,6,375,140
RS,1021,248,413,209,77,30,43,661,286
AL,1004,180,536,80,42,62,103,716,122
UK,1034,264,515,76,31,47,101,779,107
BA,1006,221,394,188,118,37,48,615,306
XK,1017,268,369,79,30,44,228,637,108
