country,total,Very positive,Fairly positive,Fairly negative,Very negative,No effect,Don't know,total positive,total negative
BE,1010,177,476,235,79,23,20,653,314
BG,1014,216,439,157,67,20,115,655,224
CZ,1048,300,501,147,34,40,27,801,181
DK,993,258,399,131,97,39,69,657,228
D-W,1264,110,437,351,215,51,99,547,566
DE,1570,130,555,445,267,61,113,685,712
D-E,306,20,118,94,52,9,14,138,145
EE,1005,179,413,168,82,62,102,592,249
IE,1004,247,377,158,89,43,90,624,247
EL,1015,81,359,290,187,16,83,439,477
ES,1002,194,339,191,191,17,69,533,382
FR,1012,173,493,194,60,48,45,665,254
HR,1001,104,426,251,135,32,53,530,386
IT,1029,136,404,255,165,23,47,540,419
CY,504,92,176,106,90,9,31,267,196
LV,1011,120,416,215,83,46,131,536,298
LT,1027,130,452,209,101,24,111,581,310
LU,512,79,189,138,68,26,12,268,206
HU,1020,196,455,214,110,32,13,651,324
MT,501,70,173,137,50,29,42,243,187
NL,1086,241,452,232,103,24,35,693,334
AT,1006,43,209,269,406,32,47,252,675
PL,1018,164,543,161,71,33,46,708,232
PT,1035,173,363,231,118,9,142,535,349
RO,1046,124,373,230,217,42,60,497,448
SI,1004,207,427,191,94,42,43,634,285
SK,1015,142,509,204,55,22,83,651,259
FI,1000,262,448,157,50,22,61,710,207
SE,1022,245,429,200,72,39,38,673,271
TR,1057,313,502,161,61,16,4,815,222
MK,1019,114,330,263,205,58,49,444,468
ME,539,92,241,109,56,40,2,333,164
RS,1021,74,318,278,282,36,34,392,560
AL,1004,101,424,175,120,43,141,525,295
UK,1034,227,425,205,82,31,63,652,288
BA,1006,149,317,226,245,40,29,466,471
XK,1017,326,321,122,76,55,118,647,198
