country,total,Very positive,Fairly positive,Fairly negative,Very negative,No effect,Don't know,total positive,total negative
BE,1010,181,508,157,50,88,25,690,207
BG,1014,256,469,70,24,81,115,725,93
CZ,1048,209,576,84,25,114,40,785,109
DK,993,206,472,93,26,148,49,678,119
D-W,1264,186,674,174,40,104,85,860,214
DE,1570,223,822,222,56,147,101,1044,278
D-E,306,36,148,48,16,43,16,184,64
EE,1005,184,506,63,32,124,96,690,95
IE,1004,261,428,69,31,132,83,689,100
EL,1015,195,574,80,20,92,54,769,100
ES,1002,255,409,85,64,89,101,663,149
FR,1012,115,451,140,55,178,73,566,196
HR,1001,168,460,185,77,60,51,628,262
IT,1029,133,531,183,62,70,49,664,246
CY,504,112,201,68,29,55,39,313,97
LV,1011,182,485,77,23,120,124,667,100
LT,1027,211,488,90,20,101,118,699,110
LU,512,83,226,74,33,69,27,309,107
HU,1020,233,515,136,49,61,25,748,185
MT,501,70,200,43,16,119,52,270,59
NL,1086,173,574,125,19,157,37,747,145
AT,1006,139,424,141,87,111,103,563,228
PL,1018,150,549,129,47,70,73,699,176
PT,1035,195,445,129,25,111,130,640,154
RO,1046,100,418,244,155,53,75,518,400
SI,1004,134,482,121,64,164,39,616,185
SK,1015,200,522,91,28,78,97,722,119
FI,1000,228,469,83,21,110,90,696,104
SE,1022,191,465,92,24,222,28,656,116
TR,1057,334,500,150,35,30,8,834,185
MK,1019,169,444,168,87,69,82,613,255
ME,539,116,235,122,44,21,2,351,166
RS,1021,176,352,150,99,210,34,528,249
AL,1004,186,491,113,51,84,80,677,164
UK,1034,210,431,150,49,147,47,641,199
BA,1006,129,349,225,144,134,25,478,368
XK,1017,353,376,85,28,48,127,729,113
