country,total,Very positive,Fairly positive,Fairly negative,Very negative,No effect,Don't know,total positive,total negative
BE,1010,360,437,134,39,29,9,798,174
BG,1014,236,457,154,59,42,66,693,213
CZ,1048,321,512,111,42,37,26,833,153
DK,993,552,365,40,13,15,8,917,52
D-W,1264,395,607,116,71,27,47,1002,187
DE,1570,455,755,178,92,31,59,1210,270
D-E,306,59,148,61,21,4,12,207,83
EE,1005,261,403,135,92,55,58,664,227
IE,1004,453,368,55,62,21,44,821,118
EL,1015,228,515,167,80,7,18,743,247
ES,1002,460,372,73,48,12,35,833,122
FR,1012,310,495,110,41,25,32,805,150
HR,1001,184,434,189,116,46,32,618,304
IT,1029,210,537,163,71,20,28,748,234
CY,504,130,195,75,70,14,20,325,145
LV,1011,192,411,179,105,51,74,603,284
LT,1027,222,450,168,93,24,71,671,260
LU,512,178,205,60,37,12,21,383,97
HU,1020,277,474,145,94,21,9,751,239
MT,501,150,193,96,38,16,10,343,133
NL,1086,535,434,68,28,17,4,969,96
AT,1006,328,386,146,101,12,32,714,247
PL,1018,199,560,152,61,23,23,759,213
PT,1035,572,368,57,7,1,30,940,64
RO,1046,110,414,237,195,44,46,524,432
SI,1004,195,379,194,159,46,31,574,353
SK,1015,187,521,181,49,30,47,708,230
FI,1000,635,295,34,19,9,8,930,53
SE,1022,695,276,25,11,13,3,971,36
TR,1057,305,402,231,107,11,1,707,339
MK,1019,207,404,227,137,31,13,611,364
ME,539,114,236,105,53,31,0,350,158
RS,1021,263,403,180,128,31,15,667,308
AL,1004,145,462,176,155,41,26,607,331
UK,1034,462,423,80,36,7,26,885,117
BA,1006,218,395,204,151,32,6,613,355
XK,1017,351,322,156,76,49,63,673,232
